StudentID,Course,Grade,Section_Grade,Course_Type
STU511,Chinese Language and Culture AP,12,99.64,Foreign Language
STU512,Spanish Language and Culture AP,12,94,Foreign Language
STU513,Spanish Literature and Culture AP,11,96.45,Foreign Language
STU514,Spanish II,10,92.68,Foreign Language
STU515,Spanish: 20th Century Latin American Literature Post-AP,12,93.79,Foreign Language
STU516,Chinese III Honors,10,93.06,Foreign Language
STU517,Spanish Language and Culture AP,12,92.72,Foreign Language
STU518,Chinese IV Honors,11,97.08,Foreign Language
STU519,Chinese III Honors,10,97.1,Foreign Language
STU52,Spanish Language and Culture AP,12,95.8,Foreign Language
STU520,Chinese II Honors,9,85.18,Foreign Language
STU521,Chinese IV,11,90.1,Foreign Language
STU522,Spanish IV,12,95.16,Foreign Language
STU523,Spanish IV Honors,11,97.43,Foreign Language
STU525,Spanish IV,11,86.77,Foreign Language
STU526,Spanish II Honors,9,95.4,Foreign Language
STU527,Spanish IV,12,82.12,Foreign Language
STU528,Chinese Language and Culture AP,12,90.28,Foreign Language
STU529,Chinese Language and Culture AP,12,97,Foreign Language
STU53,Spanish II Honors,9,93,Foreign Language
STU530,Spanish Language and Culture AP,12,94,Foreign Language
STU531,Spanish Language and Culture AP,12,91.67,Foreign Language
STU532,Spanish II Honors,9,87.58,Foreign Language
STU533,Spanish Language and Culture AP,12,97.38,Foreign Language
STU534,Spanish II Honors,9,91.48,Foreign Language
STU535,Spanish V Honors,12,93.84,Foreign Language
STU536,Spanish Literature and Culture AP,12,91.76,Foreign Language
STU537,Spanish II,9,94.1,Foreign Language
STU538,Spanish III Honors,10,97.08,Foreign Language
STU539,Latin II Honors,10,91.53,Foreign Language
STU54,Latin AP,12,90.55,Foreign Language
STU540,Spanish Language and Culture AP,12,94.45,Foreign Language
STU541,Chinese II Honors,9,87.29,Foreign Language
STU542,Latin III Honors,11,84.72,Foreign Language
STU543,French Language and Culture AP,12,83.51,Foreign Language
STU544,Spanish Language and Culture AP,12,96.11,Foreign Language
STU545,Spanish Language and Culture AP,12,92.2,Foreign Language
STU546,Spanish II,9,96.66,Foreign Language
STU547,Chinese II Honors,9,93.75,Foreign Language
STU548,Spanish Language and Culture AP,12,91.82,Foreign Language
STU549,Spanish IV,11,90.52,Foreign Language
STU55,Spanish Language and Culture AP,12,96.25,Foreign Language
STU550,Latin II Honors,11,97,Foreign Language
STU551,Spanish Language and Culture AP,12,98.5,Foreign Language
STU552,French III Honors,10,96.66,Foreign Language
STU553,Chinese V Honors,12,93.01,Foreign Language
STU554,Spanish Language and Culture AP,12,94,Foreign Language
STU555,Spanish Language and Culture AP (for Heritage Speakers),10,97.1,Foreign Language
STU556,Chinese III Honors,9,95.29,Foreign Language
STU557,Chinese Language and Culture AP,11,97.07,Foreign Language
STU558,Spanish III Honors,10,95.58,Foreign Language
STU559,Spanish IV Honors,11,98.92,Foreign Language
STU56,Spanish Language and Culture AP,12,93.49,Foreign Language
STU560,Spanish II Honors,9,97.94,Foreign Language
