StudentID,Course,Grade,Section_Grade,Course_Type
STU413,English I Honors,9,87.31,English
STU414,English Literature and Composition AP,12,93.27,English
STU415,English I Honors,9,89.67,English
STU416,English I Honors,9,96.09,English
STU417,English I Honors,9,93.57,English
STU418,English Literature and Composition AP,11,94.29,English
STU419,English II Honors,10,93.11,English
STU42,English I Honors,9,91.43,English
STU420,English Literature and Composition AP,12,94.5,English
STU421,English Literature and Composition AP,12,92.06,English
STU422,English I Honors,9,92.88,English
STU423,English I Honors,9,90.16,English
STU424,English Language and Composition AP,10,94.13,English
STU425,English Literature and Composition AP,12,92.11,English
STU426,English Language and Composition AP,10,93.33,English
STU427,English I Honors,9,89.76,English
STU428,Mythology Classical and World Literature Post-AP,12,94.51,English
STU429,English I Honors,9,93.07,English
STU43,English Language and Composition AP,10,94.35,English
STU430,English Language and Composition AP,11,87.68,English
STU431,English Literature and Composition AP,12,93.52,English
STU432,English I Honors,9,90.5,English
STU433,English I Honors,9,84.63,English
STU434,English Literature and Composition AP,11,92.34,English
STU435,English Literature and Composition AP,12,80.87,English
STU436,English Language and Composition AP,11,84.19,English
STU437,English I Honors,9,85.94,English
STU438,English I Honors,9,91.05,English
STU439,English Literature and Composition AP,11,89.08,English
STU44,English Literature and Composition AP,12,77.52,English
STU440,English Literature and Composition AP,11,87.4,English
STU441,English Literature and Composition AP,12,95.77,English
STU442,English Language and Composition AP,11,93.08,English
STU442,Talented Writers Program I Honors,11,89.11,English
STU443,English II Honors,10,97.32,English
STU444,Mythology Classical and World Literature Post-AP,12,95.63,English
STU445,English Literature and Composition AP,12,92.3,English
STU446,English Literature and Composition AP,11,95.96,English
STU447,Women Writers Post-AP,12,94.92,English
STU448,English Literature and Composition AP,11,88.53,English
STU449,English I Honors,9,85.49,English
STU45,English Literature and Composition AP,11,92.58,English
STU450,English Language and Composition AP,10,93,English
STU451,Shakespeare Post-AP,12,93.8,English
STU452,English Language and Composition AP,10,98.22,English
STU453,English I Honors,9,92.71,English
STU454,Mythology Classical and World Literature Post-AP,12,95.08,English
STU455,English Language and Composition AP,10,92.57,English
STU456,English II Honors,10,89.71,English
STU457,English II Honors,10,92.47,English
STU458,English Literature and Composition AP,11,89.99,English
STU459,English Language and Composition AP,11,90.59,English
STU46,Shakespeare Post-AP,12,96.34,English
STU460,English I Honors,9,90.32,English
STU461,English Literature and Composition AP,11,88.94,English
STU462,English II Honors,10,88.8,English
STU463,English II Honors,10,93.71,English
STU464,English I Honors,9,95.82,English
STU465,English I Honors,9,91.99,English
STU466,English Literature and Composition AP,11,92.37,English
STU467,English Language and Composition AP,11,89.48,English
STU468,English I Honors,9,81.75,English
STU469,English Literature and Composition AP,12,90.05,English
STU47,English Language and Composition AP,10,93.64,English
STU470,English I Honors,9,92.54,English
STU471,English Literature and Composition AP,11,96.28,English
STU472,English I Honors,9,91.99,English
STU473,English Language and Composition AP,11,83.42,English
STU474,Shakespeare Post-AP,12,94.22,English
STU475,English I Honors,9,88.64,English
STU476,English I Honors,9,83.33,English
STU477,English Language and Composition AP,11,91.05,English
STU478,English Language and Composition AP,11,86.13,English
STU479,Women Writers Post-AP,12,94.04,English
STU48,English Language and Composition AP,11,93.51,English
STU480,English Language and Composition AP,10,94.29,English
STU481,Mythology Classical and World Literature Post-AP,12,93.92,English
STU482,English Literature and Composition AP,12,89.07,English
STU483,Shakespeare Post-AP,12,89.15,English
STU484,English Language and Composition AP,11,95.08,English
STU485,English Literature and Composition AP,11,95.58,English
STU486,English Literature and Composition AP,11,90.86,English
STU487,English Literature and Composition AP,11,95.05,English
STU488,English Literature and Composition AP,11,93.18,English
STU489,English Literature and Composition AP,12,79.89,English
STU49,Shakespeare Post-AP,12,94.62,English
STU490,On The Fringe: Marginalized Voices in Literature Post-AP,12,98.72,English
STU491,Shakespeare Post-AP,12,93.16,English
STU491,Talented Writers Program III Honors,12,83.41,English
STU492,English Literature and Composition AP,12,76.14,English
STU493,English Language and Composition AP,10,84.63,English
STU494,English Language and Composition AP,11,92.66,English
STU495,English Literature and Composition AP,12,92.19,English
STU495,Talented Writers Program III Honors,12,91.45,English
STU496,English Language and Composition AP,10,96.36,English
STU497,English Language and Composition AP,10,93.64,English
STU498,English I Honors,9,89.83,English
STU499,English Language and Composition AP,11,96.42,English
STU5,English Literature and Composition AP,12,84.61,English
STU50,English I Honors,9,94.09,English
STU500,English Literature and Composition AP,12,93.45,English
STU501,English II Honors,10,89.37,English
STU502,English Literature and Composition AP,11,93.78,English
STU503,Mythology Classical and World Literature Post-AP,12,94.9,English
STU504,English I Honors,9,94.53,English
STU505,English I Honors,9,92.36,English
STU506,Mythology Classical and World Literature Post-AP,12,91.72,English
STU507,English II Honors,10,89.37,English
STU508,English I Honors,9,96.46,English
STU509,English Literature and Composition AP,12,96.05,English
STU51,English Literature and Composition AP,12,93.74,English
STU510,English Language and Composition AP,10,90.73,English
STU511,Mythology Classical and World Literature Post-AP,12,93.8,English
STU512,Shakespeare Post-AP,12,94.14,English
STU513,English Literature and Composition AP,11,93.25,English
STU514,English II Honors,10,85.02,English
STU515,English Literature and Composition AP,12,87.46,English
STU516,English Language and Composition AP,10,92.42,English
STU517,English Literature and Composition AP,12,89.66,English
STU518,English Literature and Composition AP,11,96.89,English
