StudentID,Course,Grade,Section_Grade
STU764,Computer Science Principles AP,9,95.02
STU764,Chemistry Honors,9,89.99
STU764,Human Geography AP,9,91.78
STU324,English I Honors,9,89.6
STU324,Spanish II,9,92.63
STU324,Geometry Honors,9,89.67
STU324,Chemistry Honors,9,92.65
STU324,World History AP,9,93.88
STU781,English I Honors,9,94.6
STU781,Chinese II Honors,9,92.12
STU781,Geometry Honors,9,90.37
STU781,Chemistry Honors,9,89.66
STU781,World History AP,9,99.18
STU295,English I Honors,9,95.16
STU295,"Great Decisions, Character, and Consequences",9,100
STU295,Spanish II Honors,9,97.39
STU295,Pre-Calculus Honors,9,95.12
STU295,Chemistry Honors,9,96.42
STU295,World History AP,9,98.78
STU661,English I Honors,9,96.56
STU661,Latin I Honors,9,96.96
STU661,Geometry,9,97.6
STU661,Chemistry,9,102.96
STU661,Human Geography AP,9,91.93
STU274,English I Honors,9,87.52
STU274,Spanish IV Honors - Heritage Speakers,9,91.37
STU274,Geometry,9,88.45
STU274,Computer Science Principles AP,9,92.73
STU274,Chemistry,9,94.5
STU274,Modern World Honors: 1750 to the Present,9,92.83
STU271,English I Honors,9,89.64
STU271,Spanish II Honors,9,97.57
STU271,Geometry,9,93.88
STU271,Chemistry,9,97.41
STU271,Human Geography AP,9,90.28
STU53,English I Honors,9,94.14
STU53,Spanish II Honors,9,93
STU53,Geometry Honors,9,90.97
STU53,Chemistry Honors,9,91.84
STU53,World History AP,9,97.35
STU432,English I Honors,9,90.5
STU432,French II Honors,9,86.23
STU432,Geometry Honors,9,88.22
STU432,Computer Science Principles AP,9,95.98
STU432,Chemistry Honors,9,89.75
STU432,Human Geography AP,9,96.52
STU700,English I Honors,9,95.5
STU700,Spanish II,9,89.97
STU700,Geometry Honors,9,85.75
STU700,Computer Science Principles AP,9,96.04
STU700,Chemistry,9,95.94
STU700,Modern World Honors: 1750 to the Present,9,97.17
STU605,English I Honors,9,93.96
STU605,Spanish II,9,93.24
STU605,Pre-Calculus Honors,9,91.22
STU605,Chemistry Honors,9,92.85
STU605,Human Geography AP,9,95.85
STU329,English I Honors,9,93.01
STU329,Latin I Honors,9,91.3
STU329,Geometry Honors,9,83.33
STU329,Chemistry,9,93.69
STU329,Human Geography AP,9,91.04
STU182,English I Honors,9,82.59
STU182,Spanish II Honors,9,83.37
STU182,Geometry,9,90.53
STU182,Computer Science Principles AP,9,86.1
STU182,Chemistry,9,91.66
