,StudentID,Course,Grade,Section_Grade,Course_Type
381,STU412,Human Geography AP,9,89.01,Humanities
382,STU50,English I Honors,9,94.09,English
383,STU50,Spanish II Honors,9,97.51,Foreign Language
384,STU50,Geometry,9,96.62,Math
385,STU50,Computer Science Principles AP,9,89.05,Computer Science
386,STU50,Chemistry,9,95.1,Science
387,STU50,Human Geography AP,9,93.45,Humanities
388,STU413,English I Honors,9,87.31,English
389,STU413,Spanish IV Honors - Heritage Speakers,9,95.33,Foreign Language
390,STU413,Geometry Honors,9,86.15,Math
391,STU413,Computer Science Principles AP,9,93.37,Computer Science
392,STU413,Chemistry Honors,9,87.67,Science
393,STU413,Human Geography AP,9,94.35,Humanities
394,STU730,English I Honors,9,93.64,English
395,STU730,Spanish II Honors,9,97.24,Foreign Language
396,STU730,Geometry Honors,9,96.65,Math
397,STU730,Chemistry Honors,9,93.83,Science
398,STU730,World History AP,9,95.1,Humanities
399,STU472,English I Honors,9,91.99,English
400,STU472,Spanish IV Honors - Heritage Speakers,9,95.49,Foreign Language
401,STU472,Geometry Honors,9,87.6,Math
402,STU472,Computer Science Principles AP,9,90.97,Computer Science
403,STU472,Chemistry,9,98.74,Science
404,STU472,World History AP,9,97.14,Humanities
405,STU188,English I Honors,9,95.34,English
406,STU188,Spanish IV Honors - Heritage Speakers,9,96.77,Foreign Language
407,STU188,Geometry Honors,9,87.43,Math
408,STU188,Computer Science Principles AP,9,92.38,Computer Science
409,STU188,Chemistry Honors,9,89.46,Science
410,STU188,Human Geography AP,9,90.35,Humanities
411,STU793,English I Honors,9,87.9,English
412,STU793,Spanish II Honors,9,93.32,Foreign Language
413,STU793,Geometry,9,92.55,Math
414,STU793,Chemistry Honors,9,81.23,Science
415,STU793,Human Geography AP,9,90.79,Humanities
416,STU625,English I Honors,9,95.68,English
417,STU625,Spanish II Honors,9,90.8,Foreign Language
418,STU625,Geometry Honors,9,83.52,Math
419,STU625,Chemistry Honors,9,90.05,Science
420,STU625,World History AP,9,95.92,Humanities
421,STU764,English I Honors,9,94.97,English
422,STU764,Latin I Honors,9,86.45,Foreign Language
423,STU764,Geometry Honors,9,91.98,Math
424,STU764,Computer Science Principles AP,9,95.02,Computer Science
425,STU764,Chemistry Honors,9,89.99,Science
426,STU764,Human Geography AP,9,91.78,Humanities
427,STU324,English I Honors,9,89.6,English
428,STU324,Spanish II,9,92.63,Foreign Language
429,STU324,Geometry Honors,9,89.67,Math
430,STU324,Chemistry Honors,9,92.65,Science
431,STU324,World History AP,9,93.88,Humanities
432,STU781,English I Honors,9,94.6,English
433,STU781,Chinese II Honors,9,92.12,Foreign Language
434,STU781,Geometry Honors,9,90.37,Math
435,STU781,Chemistry Honors,9,89.66,Science
436,STU781,World History AP,9,99.18,Humanities
437,STU295,English I Honors,9,95.16,English
438,STU295,"Great Decisions, Character, and Consequences",9,100.0,Psychology
439,STU295,Spanish II Honors,9,97.39,Foreign Language
440,STU295,Pre-Calculus Honors,9,95.12,Math
441,STU295,Chemistry Honors,9,96.42,Science
442,STU295,World History AP,9,98.78,Humanities
443,STU661,English I Honors,9,96.56,English
444,STU661,Latin I Honors,9,96.96,Foreign Language
445,STU661,Geometry,9,97.6,Math
446,STU661,Chemistry,9,102.96,Science
447,STU661,Human Geography AP,9,91.93,Humanities
448,STU274,English I Honors,9,87.52,English
449,STU274,Spanish IV Honors - Heritage Speakers,9,91.37,Foreign Language
450,STU274,Geometry,9,88.45,Math
451,STU274,Computer Science Principles AP,9,92.73,Computer Science
452,STU274,Chemistry,9,94.5,Science
453,STU274,Modern World Honors: 1750 to the Present,9,92.83,Humanities
454,STU271,English I Honors,9,89.64,English
455,STU271,Spanish II Honors,9,97.57,Foreign Language
456,STU271,Geometry,9,93.88,Math
457,STU271,Chemistry,9,97.41,Science
458,STU271,Human Geography AP,9,90.28,Humanities
459,STU53,English I Honors,9,94.14,English
460,STU53,Spanish II Honors,9,93.0,Foreign Language
461,STU53,Geometry Honors,9,90.97,Math
462,STU53,Chemistry Honors,9,91.84,Science
463,STU53,World History AP,9,97.35,Humanities
464,STU432,English I Honors,9,90.5,English
465,STU432,French II Honors,9,86.23,Foreign Language
466,STU432,Geometry Honors,9,88.22,Math
467,STU432,Computer Science Principles AP,9,95.98,Computer Science
468,STU432,Chemistry Honors,9,89.75,Science
469,STU432,Human Geography AP,9,96.52,Humanities
470,STU700,English I Honors,9,95.5,English
471,STU700,Spanish II,9,89.97,Foreign Language
472,STU700,Geometry Honors,9,85.75,Math
